,obs,obs_text,reward,reward_text,score,skeleton
0,"[ 2.7473797e-03 -1.9286897e-05  1.5003262e-03 -1.5999872e-02
  9.1886193e-02 -1.9799208e-03  8.6031079e-01  2.8657906e-03
  1.0000000e+00  3.2292616e-02 -1.9797839e-03  8.5385936e-01
  1.4002180e-03  1.0000000e+00  4.4081411e-01  4.4582021e-01
  4.6142289e-01  4.8955029e-01  5.3410292e-01  6.0246116e-01
  7.0914906e-01  8.8593203e-01  1.0000000e+00  1.0000000e+00]","Observation from last step: 
Hull angle: 0.00
Angular velocity: -0.00
X velocity: 0.00
Y velocity: -0.02
Back revolute joint angle: 0.09
Back revolute joint speed: -0.00
Back lower leg angle: 0.86
Back lower leg speed: 0.00
Back leg ground contact flag: 1.00
Front revolute joint angle: 0.03
Front revolute joint speed: -0.00
Front lower leg angle: 0.85
Front lower leg speed: 0.00
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",0,The reward from the last step was: 0.00,0,"
_
Observation from last step: 
Hull angle: 0.00
Angular velocity: -0.00
X velocity: 0.00
Y velocity: -0.02
Back revolute joint angle: 0.09
Back revolute joint speed: -0.00
Back lower leg angle: 0.86
Back lower leg speed: 0.00
Back leg ground contact flag: 1.00
Front revolute joint angle: 0.03
Front revolute joint speed: -0.00
Front lower leg angle: 0.85
Front lower leg speed: 0.00
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: 0.00
score: Score: 0

Action: 
"
1,"[-0.01044194 -0.01029575 -0.01747678 -0.01059807  0.46049553  0.6797499
  0.07952511 -0.7842048   1.          0.36230087  0.6576653   0.08361638
 -0.75522023  1.          0.44695503  0.45203087  0.4678509   0.49637014
  0.5415434   0.61085397  0.7190281   0.89827377  1.          1.        ]","Observation from last step: 
Hull angle: -0.01
Angular velocity: -0.01
X velocity: -0.02
Y velocity: -0.01
Back revolute joint angle: 0.46
Back revolute joint speed: 0.68
Back lower leg angle: 0.08
Back lower leg speed: -0.78
Back leg ground contact flag: 1.00
Front revolute joint angle: 0.36
Front revolute joint speed: 0.66
Front lower leg angle: 0.08
Front lower leg speed: -0.76
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.45
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.47
Lidar 4 (0.45 rad): 0.50
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.61
Lidar 7 (0.90 rad): 0.72
Lidar 8 (1.05 rad): 0.90
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.12224314541444181,The reward from the last step was: -0.12,-0.12224314541444181,"
_
Observation from last step: 
Hull angle: -0.01
Angular velocity: -0.01
X velocity: -0.02
Y velocity: -0.01
Back revolute joint angle: 0.46
Back revolute joint speed: 0.68
Back lower leg angle: 0.08
Back lower leg speed: -0.78
Back leg ground contact flag: 1.00
Front revolute joint angle: 0.36
Front revolute joint speed: 0.66
Front lower leg angle: 0.08
Front lower leg speed: -0.76
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.45
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.47
Lidar 4 (0.45 rad): 0.50
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.61
Lidar 7 (0.90 rad): 0.72
Lidar 8 (1.05 rad): 0.90
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.12
score: Score: -0.12224314541444181

Action: 
"
2,"[-0.02354769 -0.02626989 -0.02573918 -0.0429225   0.5386965   0.9999981
 -0.03662491 -1.          0.          0.44172844  1.0000007  -0.03462601
 -0.99999905  0.          0.44487453  0.44992673  0.46567312  0.49405962
  0.5390226   0.60801053  0.71568114  0.8940925   1.          1.        ]","Observation from last step: 
Hull angle: -0.02
Angular velocity: -0.03
X velocity: -0.03
Y velocity: -0.04
Back revolute joint angle: 0.54
Back revolute joint speed: 1.00
Back lower leg angle: -0.04
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.44
Front revolute joint speed: 1.00
Front lower leg angle: -0.03
Front lower leg speed: -1.00
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.47
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.61
Lidar 7 (0.90 rad): 0.72
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.11441501557131492,The reward from the last step was: -0.11,-0.23665816098575673,"
_
Observation from last step: 
Hull angle: -0.02
Angular velocity: -0.03
X velocity: -0.03
Y velocity: -0.04
Back revolute joint angle: 0.54
Back revolute joint speed: 1.00
Back lower leg angle: -0.04
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.44
Front revolute joint speed: 1.00
Front lower leg angle: -0.03
Front lower leg speed: -1.00
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.47
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.61
Lidar 7 (0.90 rad): 0.72
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.11
score: Score: -0.23665816098575673

Action: 
"
3,"[-0.04128341 -0.03559632 -0.02888956 -0.05652003  0.6181189   1.
 -0.10676467 -0.61096287  0.          0.5210763   1.         -0.10452724
 -0.61004055  0.          0.44213107  0.44715214  0.46280143  0.49101284
  0.5356986   0.60426104  0.71126765  0.8885788   1.          1.        ]","Observation from last step: 
Hull angle: -0.04
Angular velocity: -0.04
X velocity: -0.03
Y velocity: -0.06
Back revolute joint angle: 0.62
Back revolute joint speed: 1.00
Back lower leg angle: -0.11
Back lower leg speed: -0.61
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.52
Front revolute joint speed: 1.00
Front lower leg angle: -0.10
Front lower leg speed: -0.61
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.1283588562319688,The reward from the last step was: -0.13,-0.3650170172177255,"
_
Observation from last step: 
Hull angle: -0.04
Angular velocity: -0.04
X velocity: -0.03
Y velocity: -0.06
Back revolute joint angle: 0.62
Back revolute joint speed: 1.00
Back lower leg angle: -0.11
Back lower leg speed: -0.61
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.52
Front revolute joint speed: 1.00
Front lower leg angle: -0.10
Front lower leg speed: -0.61
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.45
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.54
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.89
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.13
score: Score: -0.3650170172177255

Action: 
"
4,"[-0.0592791  -0.03621498 -0.0265716  -0.0644678   0.69701684  1.
 -0.22225201 -0.9999998   0.          0.5619335   0.5651847   0.02397275
  1.0000001   0.          0.43901166  0.4439973   0.45953616  0.48754856
  0.531919    0.59999776  0.7062494   0.8823095   1.          1.        ]","Observation from last step: 
Hull angle: -0.06
Angular velocity: -0.04
X velocity: -0.03
Y velocity: -0.06
Back revolute joint angle: 0.70
Back revolute joint speed: 1.00
Back lower leg angle: -0.22
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.56
Front revolute joint speed: 0.57
Front lower leg angle: 0.02
Front lower leg speed: 1.00
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.88
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.14731222592989368,The reward from the last step was: -0.15,-0.5123292431476192,"
_
Observation from last step: 
Hull angle: -0.06
Angular velocity: -0.04
X velocity: -0.03
Y velocity: -0.06
Back revolute joint angle: 0.70
Back revolute joint speed: 1.00
Back lower leg angle: -0.22
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.56
Front revolute joint speed: 0.57
Front lower leg angle: 0.02
Front lower leg speed: 1.00
Front leg ground contact flag: 0.00
Lidar 1 (0.00 rad): 0.44
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.49
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.60
Lidar 7 (0.90 rad): 0.71
Lidar 8 (1.05 rad): 0.88
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.15
score: Score: -0.5123292431476192

Action: 
"
5,"[-0.08204864 -0.04578393 -0.0308511  -0.08455852  0.7758789   1.
 -0.33869314 -1.          0.          0.6220956   0.814324    0.08150387
 -0.28098494  1.          0.43493202  0.43987134  0.4552658   0.4830179
  0.526976    0.5944221   0.69968635  0.8741104   1.          1.        ]","Observation from last step: 
Hull angle: -0.08
Angular velocity: -0.05
X velocity: -0.03
Y velocity: -0.08
Back revolute joint angle: 0.78
Back revolute joint speed: 1.00
Back lower leg angle: -0.34
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.62
Front revolute joint speed: 0.81
Front lower leg angle: 0.08
Front lower leg speed: -0.28
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.48
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.59
Lidar 7 (0.90 rad): 0.70
Lidar 8 (1.05 rad): 0.87
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.17416729731559752,The reward from the last step was: -0.17,-0.6864965404632167,"
_
Observation from last step: 
Hull angle: -0.08
Angular velocity: -0.05
X velocity: -0.03
Y velocity: -0.08
Back revolute joint angle: 0.78
Back revolute joint speed: 1.00
Back lower leg angle: -0.34
Back lower leg speed: -1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.62
Front revolute joint speed: 0.81
Front lower leg angle: 0.08
Front lower leg speed: -0.28
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.46
Lidar 4 (0.45 rad): 0.48
Lidar 5 (0.60 rad): 0.53
Lidar 6 (0.75 rad): 0.59
Lidar 7 (0.90 rad): 0.70
Lidar 8 (1.05 rad): 0.87
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.17
score: Score: -0.6864965404632167

Action: 
"
6,"[-0.11039506 -0.05667959 -0.0346836  -0.08982832  0.85537004  0.99999976
 -0.4396515  -0.8628815   0.          0.7150741   1.0000002   0.07713318
 -0.11056268  1.          0.43057844  0.43546832  0.4507087   0.47818297
  0.5217011   0.58847207  0.6926827   0.86536074  1.          1.        ]","Observation from last step: 
Hull angle: -0.11
Angular velocity: -0.06
X velocity: -0.03
Y velocity: -0.09
Back revolute joint angle: 0.86
Back revolute joint speed: 1.00
Back lower leg angle: -0.44
Back lower leg speed: -0.86
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.72
Front revolute joint speed: 1.00
Front lower leg angle: 0.08
Front lower leg speed: -0.11
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.48
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.59
Lidar 7 (0.90 rad): 0.69
Lidar 8 (1.05 rad): 0.87
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.19999538606008133,The reward from the last step was: -0.20,-0.886491926523298,"
_
Observation from last step: 
Hull angle: -0.11
Angular velocity: -0.06
X velocity: -0.03
Y velocity: -0.09
Back revolute joint angle: 0.86
Back revolute joint speed: 1.00
Back lower leg angle: -0.44
Back lower leg speed: -0.86
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.72
Front revolute joint speed: 1.00
Front lower leg angle: 0.08
Front lower leg speed: -0.11
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.44
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.48
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.59
Lidar 7 (0.90 rad): 0.69
Lidar 8 (1.05 rad): 0.87
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.20
score: Score: -0.886491926523298

Action: 
"
7,"[-0.12626939 -0.0317548  -0.02187026 -0.06307999  0.8464666  -0.09749953
 -0.35137296  0.7222791   0.          0.75149816  0.4491136   0.04729307
 -0.24272776  1.          0.4275581   0.43241367  0.44754714  0.4748287
  0.51804155  0.58434415  0.6878238   0.85929054  1.          1.        ]","Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.03
X velocity: -0.02
Y velocity: -0.06
Back revolute joint angle: 0.85
Back revolute joint speed: -0.10
Back lower leg angle: -0.35
Back lower leg speed: 0.72
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.75
Front revolute joint speed: 0.45
Front lower leg angle: 0.05
Front lower leg speed: -0.24
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.69
Lidar 8 (1.05 rad): 0.86
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.13692669502893848,The reward from the last step was: -0.14,-1.0234186215522365,"
_
Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.03
X velocity: -0.02
Y velocity: -0.06
Back revolute joint angle: 0.85
Back revolute joint speed: -0.10
Back lower leg angle: -0.35
Back lower leg speed: 0.72
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.75
Front revolute joint speed: 0.45
Front lower leg angle: 0.05
Front lower leg speed: -0.24
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.69
Lidar 8 (1.05 rad): 0.86
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.14
score: Score: -1.0234186215522365

Action: 
"
8,"[-0.13420437 -0.01591974 -0.0200943  -0.04562093  0.7961259  -0.61597353
 -0.22815406  1.0000001   0.          0.7738766   0.27592003  0.02623832
 -0.16986503  1.          0.42538112  0.43021196  0.4452684   0.47241104
  0.51540387  0.58136886  0.6843216   0.8549154   1.          1.        ]","Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.02
X velocity: -0.02
Y velocity: -0.05
Back revolute joint angle: 0.80
Back revolute joint speed: -0.62
Back lower leg angle: -0.23
Back lower leg speed: 1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.77
Front revolute joint speed: 0.28
Front lower leg angle: 0.03
Front lower leg speed: -0.17
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.68
Lidar 8 (1.05 rad): 0.85
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.09594063393275061,The reward from the last step was: -0.10,-1.1193592554849872,"
_
Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.02
X velocity: -0.02
Y velocity: -0.05
Back revolute joint angle: 0.80
Back revolute joint speed: -0.62
Back lower leg angle: -0.23
Back lower leg speed: 1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.77
Front revolute joint speed: 0.28
Front lower leg angle: 0.03
Front lower leg speed: -0.17
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.43
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.45
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.52
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.68
Lidar 8 (1.05 rad): 0.85
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.10
score: Score: -1.1193592554849872

Action: 
"
9,"[-1.34215161e-01 -1.10277106e-04 -1.86166111e-02 -3.49728130e-02
  7.19762146e-01 -9.44232404e-01 -1.03586316e-01  1.00000000e+00
  0.00000000e+00  7.84671128e-01  1.32071957e-01  9.67574120e-03
 -1.32608011e-01  1.00000000e+00  4.23725843e-01  4.28537875e-01
  4.43535715e-01  4.70572740e-01  5.13398290e-01  5.79106629e-01
  6.81658685e-01  8.51588607e-01  1.00000000e+00  1.00000000e+00]","Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.00
X velocity: -0.02
Y velocity: -0.03
Back revolute joint angle: 0.72
Back revolute joint speed: -0.94
Back lower leg angle: -0.10
Back lower leg speed: 1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.78
Front revolute joint speed: 0.13
Front lower leg angle: 0.01
Front lower leg speed: -0.13
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.42
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.44
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.51
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.68
Lidar 8 (1.05 rad): 0.85
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00",-0.05524929793675622,The reward from the last step was: -0.06,-1.1746085534217434,"
_
Observation from last step: 
Hull angle: -0.13
Angular velocity: -0.00
X velocity: -0.02
Y velocity: -0.03
Back revolute joint angle: 0.72
Back revolute joint speed: -0.94
Back lower leg angle: -0.10
Back lower leg speed: 1.00
Back leg ground contact flag: 0.00
Front revolute joint angle: 0.78
Front revolute joint speed: 0.13
Front lower leg angle: 0.01
Front lower leg speed: -0.13
Front leg ground contact flag: 1.00
Lidar 1 (0.00 rad): 0.42
Lidar 2 (0.15 rad): 0.43
Lidar 3 (0.30 rad): 0.44
Lidar 4 (0.45 rad): 0.47
Lidar 5 (0.60 rad): 0.51
Lidar 6 (0.75 rad): 0.58
Lidar 7 (0.90 rad): 0.68
Lidar 8 (1.05 rad): 0.85
Lidar 9 (1.20 rad): 1.00
Lidar 10 (1.35 rad): 1.00
The reward from the last step was: -0.06
score: Score: -1.1746085534217434

Action: 
"
