,obs,obs_text,reward,reward_text,score,skeleton
0,"[-0.00368938  1.4124846  -0.37371176  0.06952024  0.0042819   0.08465126
  0.          0.        ]","Observation from last step: 
X coordinate: -0.003689
Y coordinate: 1.41
X velocity: -0.37
Y velocity: 0.07
Angle of the lander: 0.00
Angular velocity of lander: 0.21162815392017365
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",0,The reward from the last step was: 0.00,0,"
_
Observation from last step: 
X coordinate: -0.003689
Y coordinate: 1.41
X velocity: -0.37
Y velocity: 0.07
Angle of the lander: 0.00
Angular velocity of lander: 0.21162815392017365
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: 0.00
score: Score: 0

Action: 
"
1,"[-0.00739508  1.4142457  -0.37472457  0.07826131  0.00839907  0.08235151
  0.          0.        ]","Observation from last step: 
X coordinate: -0.007395
Y coordinate: 1.41
X velocity: -0.37
Y velocity: 0.08
Angle of the lander: 0.01
Angular velocity of lander: 0.20587876439094543
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-1.1579530160004083,The reward from the last step was: -1.16,-1.1579530160004083,"
_
Observation from last step: 
X coordinate: -0.007395
Y coordinate: 1.41
X velocity: -0.37
Y velocity: 0.08
Angle of the lander: 0.01
Angular velocity of lander: 0.20587876439094543
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -1.16
score: Score: -1.1579530160004083

Action: 
"
2,"[-0.01108503  1.416822   -0.37326404  0.11446548  0.01262781  0.08458259
  0.          0.        ]","Observation from last step: 
X coordinate: -0.011085
Y coordinate: 1.42
X velocity: -0.37
Y velocity: 0.11
Angle of the lander: 0.01
Angular velocity of lander: 0.21145647391676903
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-1.7439974427883727,The reward from the last step was: -1.74,-2.901950458788781,"
_
Observation from last step: 
X coordinate: -0.011085
Y coordinate: 1.42
X velocity: -0.37
Y velocity: 0.11
Angle of the lander: 0.01
Angular velocity of lander: 0.21145647391676903
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -1.74
score: Score: -2.901950458788781

Action: 
"
3,"[-0.01476088  1.420248   -0.37199038  0.15222766  0.01698182  0.08708827
  0.          0.        ]","Observation from last step: 
X coordinate: -0.014761
Y coordinate: 1.42
X velocity: -0.37
Y velocity: 0.15
Angle of the lander: 0.02
Angular velocity of lander: 0.21772067993879318
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.232560607701873,The reward from the last step was: -2.23,-5.134511066490655,"
_
Observation from last step: 
X coordinate: -0.014761
Y coordinate: 1.42
X velocity: -0.37
Y velocity: 0.15
Angle of the lander: 0.02
Angular velocity of lander: 0.21772067993879318
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.23
score: Score: -5.134511066490655

Action: 
"
4,"[-0.01834888  1.4238799  -0.36367413  0.16135535  0.02179983  0.09636881
  0.          0.        ]","Observation from last step: 
X coordinate: -0.018349
Y coordinate: 1.42
X velocity: -0.36
Y velocity: 0.16
Angle of the lander: 0.02
Angular velocity of lander: 0.24092203006148338
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-0.7420801583828223,The reward from the last step was: -0.74,-5.876591224873477,"
_
Observation from last step: 
X coordinate: -0.018349
Y coordinate: 1.42
X velocity: -0.36
Y velocity: 0.16
Angle of the lander: 0.02
Angular velocity of lander: 0.24092203006148338
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -0.74
score: Score: -5.876591224873477

Action: 
"
5,"[-0.0219739   1.4277126  -0.36724564  0.17026229  0.02649633  0.09393876
  0.          0.        ]","Observation from last step: 
X coordinate: -0.021974
Y coordinate: 1.43
X velocity: -0.37
Y velocity: 0.17
Angle of the lander: 0.03
Angular velocity of lander: 0.23484690114855766
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-1.8512206349430642,The reward from the last step was: -1.85,-7.727811859816541,"
_
Observation from last step: 
X coordinate: -0.021974
Y coordinate: 1.43
X velocity: -0.37
Y velocity: 0.17
Angle of the lander: 0.03
Angular velocity of lander: 0.23484690114855766
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -1.85
score: Score: -7.727811859816541

Action: 
"
6,"[-0.02551212  1.4319589  -0.35908085  0.18862669  0.0316918   0.10391887
  0.          0.        ]","Observation from last step: 
X coordinate: -0.025512
Y coordinate: 1.43
X velocity: -0.36
Y velocity: 0.19
Angle of the lander: 0.03
Angular velocity of lander: 0.2597971633076668
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-1.3314931948283288,The reward from the last step was: -1.33,-9.05930505464487,"
_
Observation from last step: 
X coordinate: -0.025512
Y coordinate: 1.43
X velocity: -0.36
Y velocity: 0.19
Angle of the lander: 0.03
Angular velocity of lander: 0.2597971633076668
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -1.33
score: Score: -9.05930505464487

Action: 
"
7,"[-0.02905989  1.4370517  -0.36012548  0.22622225  0.036987    0.10591395
  0.          0.        ]","Observation from last step: 
X coordinate: -0.029060
Y coordinate: 1.44
X velocity: -0.36
Y velocity: 0.23
Angle of the lander: 0.04
Angular velocity of lander: 0.26478487998247147
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.312946055463402,The reward from the last step was: -3.31,-12.372251110108273,"
_
Observation from last step: 
X coordinate: -0.029060
Y coordinate: 1.44
X velocity: -0.36
Y velocity: 0.23
Angle of the lander: 0.04
Angular velocity of lander: 0.26478487998247147
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.31
score: Score: -12.372251110108273

Action: 
"
8,"[-0.03267059  1.4422561  -0.3662054   0.2311681   0.04206606  0.10159051
  0.          0.        ]","Observation from last step: 
X coordinate: -0.032671
Y coordinate: 1.44
X velocity: -0.37
Y velocity: 0.23
Angle of the lander: 0.04
Angular velocity of lander: 0.2539762854576111
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-2.1140030927296207,The reward from the last step was: -2.11,-14.486254202837895,"
_
Observation from last step: 
X coordinate: -0.032671
Y coordinate: 1.44
X velocity: -0.37
Y velocity: 0.23
Angle of the lander: 0.04
Angular velocity of lander: 0.2539762854576111
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -2.11
score: Score: -14.486254202837895

Action: 
"
9,"[-0.03630581  1.4482481  -0.36872444  0.2661604   0.04721334  0.10295504
  0.          0.        ]","Observation from last step: 
X coordinate: -0.036306
Y coordinate: 1.45
X velocity: -0.37
Y velocity: 0.27
Angle of the lander: 0.05
Angular velocity of lander: 0.25738760828971863
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0",-3.591118434468245,The reward from the last step was: -3.59,-18.07737263730614,"
_
Observation from last step: 
X coordinate: -0.036306
Y coordinate: 1.45
X velocity: -0.37
Y velocity: 0.27
Angle of the lander: 0.05
Angular velocity of lander: 0.25738760828971863
Leg 1 contact with ground flag: 0.0
Leg 2 contact with ground flag: 0.0
The reward from the last step was: -3.59
score: Score: -18.07737263730614

Action: 
"
